animal_id,status
101,OK
102,OK
103,MISSING
104,MISSING
105,OK
106,OK
107,OK
108,OK
109,NEEDS_REVIEW
110,MISSING
111,NEEDS_REVIEW
112,OK
113,NEEDS_REVIEW
114,NEEDS_REVIEW
115,OK
116,OK
117,OK
118,MISSING
119,OK
120,NEEDS_REVIEW
121,NEEDS_REVIEW
122,OK
123,OK
124,OK
125,OK
126,OK
127,OK
128,OK
129,OK
130,OK
131,OK
132,OK
133,OK
134,OK
135,OK
136,OK
137,OK
138,OK
139,OK
140,OK
141,OK
142,OK
143,OK
144,OK
145,OK
146,OK
147,OK
148,OK
149,OK
150,OK
151,OK
152,OK
153,OK
154,OK
155,OK
156,OK
157,OK
158,OK
159,OK
160,OK
201,OK
202,OK
203,OK
204,OK
205,OK
206,OK
207,OK
208,OK
209,OK
210,OK
211,OK
212,OK
213,OK
214,OK
215,OK
216,OK
217,OK
218,OK
219,OK
220,OK
221,OK
222,OK
223,OK
224,OK
225,OK
226,OK
227,OK
228,OK
229,OK
230,OK
231,OK
232,OK
233,OK
234,OK
235,OK
236,OK
237,OK
238,OK
239,OK
240,OK
241,OK
242,OK
243,OK
244,OK
245,OK
246,OK
247,OK
248,OK
249,OK
250,OK
251,OK
252,OK
253,OK
254,OK
255,OK
256,OK
257,OK
258,OK
259,OK
260,OK
